x,y,z,word
-0.4419223403773529,-0.0069126389130472,-0.0034876959050707,abstracttechnical
-0.4868274223138243,-0.0068256532172424,-0.0033922996439618,abstractthe
-0.5256989289358552,-0.0068307561850856,-0.0033902287752593,abstruse
-0.5582460913134277,-0.0068565298403027,-0.0034092866941783,absurd
-0.5842879571075128,-0.0068671679937753,-0.0034148689958012,absurdity
-0.6038143206906316,-0.0068913947170772,-0.0034349789110809,abu
-0.6167838270410437,-0.0070469106682649,-0.0035914294286994,abundant
-0.6239157547353656,-0.0068436498788801,-0.0033849963011856,aburnsliuedu
-0.6259273610677971,-0.0068439139582359,-0.0033848891334178,abused
-0.6238736329599399,-0.0069233195705842,-0.0034623663969667,abuser
-0.6188075648941179,-0.0068429792866967,-0.0033852684385785,abusive
-0.6116920269716398,-0.0073545261379446,-0.0039219252243255,abyss
-0.6032777294180861,-0.0068409405632736,-0.0033860957862435,aca
-0.5941287326874934,-0.0068397395026466,-0.0033865831964994,acad
-0.5849455701216547,-0.0069470851488924,-0.0034939078610748,academe
-0.5762647300968619,-0.0068373943547814,-0.0033875348962682,academia
-0.5686053777057375,-0.0068363888514617,-0.0033879429461363,academic
-0.5622479979262743,-0.0068355542683081,-0.0033882816337756,academiccategory
-0.5572894286606637,-0.006952416713559,-0.0035014538050903,academicization
-0.5536046344771316,-0.0071410802463437,-0.0036963671643136,academics
-0.5512516076250812,-0.0068341106858238,-0.0033888674634101,academicstudent
-0.5502482446586029,-0.006986895774087,-0.0035404207152645,academy
-0.5503367079520219,-0.0068339905797611,-0.0033889162044356,academys
-0.5510522064142863,-0.0068340845088614,-0.0033888780864541,accelerate
-0.5516457011179626,-0.0070553565254168,-0.0036089844365895,accelerated
-0.5513693035920563,-0.0071155604561472,-0.0036736055647211,acceleration
-0.5498557991495164,-0.0068339274470871,-0.0033889418247183,accelerometer
-0.5466151633864992,-0.0068768808157729,-0.0034307629124797,accelerometers
-0.5414457598471638,-0.0068328233952031,-0.0033893898672227,accent
-0.5342072918709999,-0.0069845482234718,-0.0035414710759996,accentuation
-0.5247781645213022,-0.0068306353091122,-0.0033902778287273,accept
-0.5131211221479136,-0.0068577489291585,-0.0034187211047201,acceptable
-0.4993433374156639,-0.0072670858738999,-0.0038458175354421,acceptably
-0.4836252734581168,-0.0068252328460229,-0.0033924702375513,acceptance
-0.4662011264795329,-0.0068229454414571,-0.0033933985041348,accepted
-0.4472521467125168,-0.0068204578601202,-0.0033944080057608,accepting
-0.426901493728442,-0.0068177862701358,-0.0033954921811377,access
-0.4053574032048298,-0.0068221423738516,-0.0034035166762076,accessed
-0.3828748793332117,-0.006812006550824,-0.0033978376867728,accessibility
-0.3598173518691002,-0.0068161577150602,-0.0034059477657781,accessible
-0.3366383729838003,-0.0068271683483206,-0.0034213064804794,accessvalidation
-0.3137975408873705,-0.0076539015110205,-0.0043401578422968,accident
-0.291355191735823,-0.0076685526844588,-0.0043540350077065,accidental
-0.2696310053055084,-0.0069201525891128,-0.0035256817390447,acclaim
-0.2487935528077839,-0.0073068856062303,-0.0039412585395898,accommodate
-0.2290133862389172,-0.0067918079447035,-0.003406034615018,accommodated
-0.210281401907178,-0.0067893488500609,-0.0034070325562726,accompanied
-0.1926588763315168,-0.0068955865948694,-0.0035148068255648,accompanying
-0.1760665000313589,-0.0067848571912803,-0.0034088553456526,accomplish
-0.1604721523988935,-0.0067828099988399,-0.0034096861301849,accomplished
-0.1458215359759477,-0.0069338035050012,-0.003561966435671,accomplishing
-0.1320922656980948,-0.0068872734062879,-0.0035183245528194,accomplishment
-0.1193544497846721,-0.0067774121552146,-0.003411876664354,accomplishments
-0.1075438801881113,-0.0067970915144526,-0.0034335128551545,accord
-0.0966346570946803,-0.006986999429958,-0.0036262636886894,accordance
-0.0865998648063917,-0.0068373719354825,-0.0034772924971736,according
-0.0773812060654083,-0.0068148034017318,-0.0034561412284172,accordingly
-0.0688830412412775,-0.0072105759714019,-0.0038687501879805,account
-0.0611058372665653,-0.0067697654025563,-0.003414979842983,accountability
-0.0539891627680201,-0.0068408596890157,-0.0034858088022029,accounted
-0.0475168346410456,-0.0076365421090187,-0.0043670254283526,accounts
-0.0415519050265109,-0.0068027550063327,-0.0034510981841699,accumulate
-0.0361865506586881,-0.0067664940521692,-0.0034163074110453,accumulated
-0.0314655710523824,-0.0105767443913423,-0.0111831138502631,accumulates
