x,y,z,word
-0.5205426633249949,-0.0068515989215972,-0.0034112804902661,consistently
-0.428304774931553,-0.0069627027608871,-0.0035400010647125,constructed
-0.396721534000474,-0.0068138243098882,-0.0033971000100971,contains
-0.39040686762685,-0.0068779522673178,-0.0034605505105499,contemporaneity
-0.426127347851238,-0.006817684641929,-0.0033955334235439,contrivances
-0.393437043094242,-0.0070338793927648,-0.0036179935082449,controllers
-0.3263739597803078,-0.0068045892315419,-0.0034008477575452,converse
-0.4902700255707845,-0.0068261051547988,-0.0033921162402309,corbusier
3.3725383016113755,-0.0070670286803231,-0.004397087099762,corpse
-0.6189424539484792,-0.0068429969946419,-0.0033852612524016,critique
-0.5077059020323563,-0.0068283940991859,-0.0033911873487625,crying
-0.5001521149881234,-0.006827402454258,-0.003391589774666,cure
